Object.ID,level,level2,level3,Names,Material,Materials,Object.Name,Link.Resource
501188,Aerophone,Reed Vibrated,pipe,Reed Pipe,spruce root,spruce root | wood (red cedar or spruce),Reed Pipe,http://www.metmuseum.org/art/collection/search/501188
501189,Aerophone,Blow Hole,end-blown flute (vertical),Mystery Flute (Tohono O'odham style),Cane,Cane | red and blue stain,Mystery Flute (Tohono O'odham style),http://www.metmuseum.org/art/collection/search/501189
501190,Aerophone,Blow Hole,end-blown flute (vertical),Tahpeno (duct flute),Wood,Wood | metal (lead?) | cord,Tahpeno (duct flute),http://www.metmuseum.org/art/collection/search/501190
501191,Aerophone,Blow Hole,end-blown flute (vertical),Flute (end blown flute),Wood,Wood | skin | shell | beads,Flute (end blown flute),http://www.metmuseum.org/art/collection/search/501191
501193,Aerophone,Whistle Flute,flageolet,Chotonka-Chanta-Ki-Yapi,Wood,Wood | hide,Chotonka-Chanta-Ki-Yapi,http://www.metmuseum.org/art/collection/search/501193
501194,Aerophone,Blow Hole,side-blown flute (transverse),Flute,Wood,Wood | polychrome | sinew,Flute,http://www.metmuseum.org/art/collection/search/501194
501195,Aerophone,Blow Hole,end-blown flute (vertical),Siyontanka (flute),Wood,Wood | skin,Siyontanka (flute),http://www.metmuseum.org/art/collection/search/501195
501199,Aerophone,Lip Vibrated,trumpet / trombone,Jindai Rappa,Wood,Wood | metal | various materials,Jindai Rappa,http://www.metmuseum.org/art/collection/search/501199
501202,Aerophone,Whistle Flute,whistle,Double Whistle,Deer tibia bone,Deer tibia bone | abalone shell | asphaltum,Double Whistle,http://www.metmuseum.org/art/collection/search/501202
501234,Aerophone,Reed Vibrated,pipe,K'oak'Omolakula (Reed Pipe),Wood,Wood | metal | various materials,K'oak'Omolakula (Reed Pipe),http://www.metmuseum.org/art/collection/search/501234
501238,Aerophone,Whistle Flute,stopped pipe,Half-Stopped Pipe,Wood,Wood | metal | various materials,Half-Stopped Pipe,http://www.metmuseum.org/art/collection/search/501238
501241,Aerophone,Free Reed,mouth organ,Harmonica,Wood,Wood | metal,Harmonica,http://www.metmuseum.org/art/collection/search/501241
501256,Aerophone,Blow Hole,vessel flute,Pottery Flute,Wood,Wood | metal | various materials,Pottery Flute,http://www.metmuseum.org/art/collection/search/501256
501259,Aerophone,Whistle Flute,recorder,Pottery Flute,Wood,Wood | metal | various materials,Pottery Flute,http://www.metmuseum.org/art/collection/search/501259
501271,Aerophone,Whistle Flute,recorder,Uilacapitztli (Pottery Flute),Wood,Wood | metal | various materials,Uilacapitztli (Pottery Flute),http://www.metmuseum.org/art/collection/search/501271
501298,Aerophone,Whistle Flute,recorder,Contrabass Recorder in D?,Wood,Wood | brass,NA,http://www.metmuseum.org/art/collection/search/501298
501299,Aerophone,Blow Hole,side-blown flute (transverse),Transverse Flute in D,wood,wood | nickel-silver,NA,http://www.metmuseum.org/art/collection/search/501299
501301,Aerophone,Blow Hole,end-blown flute (vertical),Wat-Sa-Pua,bone,bone | wool | wax,Wat-Sa-Pua,http://www.metmuseum.org/art/collection/search/501301
501302,Aerophone,Lip Vibrated,horn,Engraved Horn,Wood,Wood | metal | various materials,Engraved Horn,http://www.metmuseum.org/art/collection/search/501302
501305,Aerophone,Blow Hole,vessel flute,Whistling Jar,Wood,Wood | metal | various materials,Whistling Jar,http://www.metmuseum.org/art/collection/search/501305
501307,Aerophone,Whistle Flute,stopped pipe,Stopped Pipe,wood,wood | cord | resin | cloth,Stopped Pipe,http://www.metmuseum.org/art/collection/search/501307
501312,Aerophone,Lip Vibrated,trumpet / trombone,Bark Trumpet / Moose Call,birch bark,birch bark | cord,Bark Trumpet / Moose Call,http://www.metmuseum.org/art/collection/search/501312
501326,Aerophone,Blow Hole,panpipe,Panpipes,Wood,Wood | metal | various materials,Panpipes,http://www.metmuseum.org/art/collection/search/501326
501333,Aerophone,Reed Vibrated,pipe,Pito,Wood,Wood | metal | various materials,Pito,http://www.metmuseum.org/art/collection/search/501333
501334,Aerophone,Whistle Flute,whistle flute,Whistle,Wood,Wood | metal | various materials,Whistle,http://www.metmuseum.org/art/collection/search/501334
501338,Aerophone,Blow Hole,side-blown flute (transverse),Poo-Do-Parana (flute),bamboo,bamboo | dried grass,Poo-Do-Parana (flute),http://www.metmuseum.org/art/collection/search/501338
501339,Aerophone,Blow Hole,end-blown flute (vertical),Rattle Staff,Cane,Cane | wood | cotton cord,Rattle Staff,http://www.metmuseum.org/art/collection/search/501339
501351,Aerophone,Blow Hole,end-blown flute (vertical),Ipu Hokiokio,Wood,Wood | metal | various materials,Ipu Hokiokio,http://www.metmuseum.org/art/collection/search/501351
501354,Aerophone,Free Aerophone,Free Aerophone,Wilmurra,Wood,Wood | metal | various materials,Wilmurra,http://www.metmuseum.org/art/collection/search/501354
501384,Aerophone,Lip Vibrated,trumpet / trombone,Pupa Galanga,Wood,Wood | metal | various materials,Pupa Galanga,http://www.metmuseum.org/art/collection/search/501384
501395,Aerophone,Lip Vibrated,horn,Trumpet,Wood,Wood | metal | various materials,Trumpet,http://www.metmuseum.org/art/collection/search/501395
501400,Aerophone,Lip Vibrated,trumpet / trombone,Conch Shell Trumpet,Wood,Wood | metal | various materials,Conch Shell Trumpet,http://www.metmuseum.org/art/collection/search/501400
501408,Aerophone,Blow Hole,nose flute,Mbita-Ni-Tanga,Wood,Wood | metal | various materials,Mbita-Ni-Tanga,http://www.metmuseum.org/art/collection/search/501408
501414,Aerophone,Blow Hole,panpipe,Putu,Wood,Wood | metal | various materials,Putu,http://www.metmuseum.org/art/collection/search/501414
501416,Aerophone,Blow Hole,panpipe,Galeon,Wood,Wood | metal | various materials,Galeon,http://www.metmuseum.org/art/collection/search/501416
501421,Aerophone,Lip Vibrated,trumpet / trombone,Valve Trumpet in B-flat,Wood,Wood | metal | various materials,NA,http://www.metmuseum.org/art/collection/search/501421
501432,Aerophone,Free Reed,mouth organ,Engkerurai,Bamboo,Bamboo | rattan | gourd,Engkerurai,http://www.metmuseum.org/art/collection/search/501432
501434,Aerophone,Blow Hole,end-blown flute (vertical),Souling,Wood,Wood | metal | various materials,Souling,http://www.metmuseum.org/art/collection/search/501434
501435,Aerophone,Blow Hole,nose flute,Nose Flute,bamboo,bamboo | rattan,Nose Flute,http://www.metmuseum.org/art/collection/search/501435
501438,Aerophone,Blow Hole,panpipe,Galeon Soniruka,Wood,Wood | metal | various materials,Galeon Soniruka,http://www.metmuseum.org/art/collection/search/501438
501440,Aerophone,Blow Hole,panpipe,Galevu Hohamamu,Bamboo,Bamboo | fiber,Galevu Hohamamu,http://www.metmuseum.org/art/collection/search/501440
501444,Aerophone,Blow Hole,end-blown flute (vertical),Bue Balabala,Wood,Wood | metal | various materials,Bue Balabala,http://www.metmuseum.org/art/collection/search/501444
501446,Aerophone,Blow Hole,panpipe,Bue Balabala,Wood,Wood | metal | various materials,Bue Balabala,http://www.metmuseum.org/art/collection/search/501446
501447,Aerophone,Blow Hole,panpipe,Galeon Ngungu,Wood,Wood | metal | various materials,Galeon Ngungu,http://www.metmuseum.org/art/collection/search/501447
501451,Aerophone,Blow Hole,panpipe,Kove,Wood,Wood | metal | various materials,Kove,http://www.metmuseum.org/art/collection/search/501451
501465,Aerophone,Blow Hole,end-blown flute (vertical),Tabor Pipe,wood,wood | brass,Tabor Pipe,http://www.metmuseum.org/art/collection/search/501465
501467,Aerophone,Reed Vibrated,bagpipe,Karamuza,wood,wood | cane | leather | sheepskin,Karamuza,http://www.metmuseum.org/art/collection/search/501467
501469,Aerophone,Reed Vibrated,bagpipe,Uillean Pipe,Sheepskin,Sheepskin | ivory | brass | wood | leather,Uillean Pipe,http://www.metmuseum.org/art/collection/search/501469
501470,Aerophone,Reed Vibrated,bagpipe,Cornemuse Du Nivernais,wood,wood | pewter | sheep or goatskin,Cornemuse Du Nivernais,http://www.metmuseum.org/art/collection/search/501470
501473,Aerophone,Reed Vibrated,bagpipe,Miniature Toy Zampogna,wood,wood | leather,Miniature Toy Zampogna,http://www.metmuseum.org/art/collection/search/501473
501474,Aerophone,Reed Vibrated,bagpipe,Piob Mhór,wood,wood | ivory | horn | cloth,Piob Mhór,http://www.metmuseum.org/art/collection/search/501474
501477,Aerophone,Reed Vibrated,bagpipe,Cabrette,Wood,Wood | metal | various materials,Cabrette,http://www.metmuseum.org/art/collection/search/501477
